A	Մեր նոր տնօրենին տեսա՞ր։ Դուրդ [դուրտ] գալի՞ս է։	Have you seen our new director? Do you like him?	sakayan unit8 dialogue1
B	Ես նախորդին [նախորթին] էի շատ սիրում։	I liked his predecessor very much.	sakayan unit8 dialogue1
A	Ես սրան եմ հավանում։ Նրա ելույթը վերջին [վերչին] ժողովին տպավորիչ էր։	I like this 1 better. His speech at the last meeting was impressive.	sakayan unit8 dialogue1
B	Բայց մի քիչ երկար չխոսե՞ց։ Մեծամիտ է թվում։	But didn’t he speak a bit too long? He seems to be haughty.	sakayan unit8 dialogue1
A	Իսկ արտաքինի մասին ի՞նչ կասես։ Գեղեցիկ մարդ [մարթ] է, չէ՞։	And what do you say about his looks? He’s a handsome man, isn’t he?	sakayan unit8 dialogue1
B	Իսկապես, ներկայանալի մարդ [մարթ] է, բայց դա ի՞նչ կարևոր է։	He is indeed a good-looking man, but why is that important?	sakayan unit8 dialogue1
A	Կտեսնես, թե ինչ հիանալի ղեկավար է լինելու։	You’ll see what a wonderful leader he’ll be.	sakayan unit8 dialogue1
B	Հուսանք, որ չես սխալվում։	Let’s hope that you’re not mistaken.	sakayan unit8 dialogue1
