A	Ե՞րբ [երփ] է ժամանելու գնացքը։	When is the train arriving?	sakayan unit6 dialogue2
B	Որտեղի՞ց։	From where?	sakayan unit6 dialogue2
A	Սպիտակից։	From Spitak.	sakayan unit6 dialogue2
B	Սպիտակի գնացքն ուշանում է։	The train from Spitak is delayed.	sakayan unit6 dialogue2
A	Քանի՞ րոպեից է այստեղ լինելու։	In how many minutes will it be here?	sakayan unit6 dialogue2
B	Այն ժամանելու է ժամը տասին։	It will arrive at 10 o’clock.	sakayan unit6 dialogue2
A	Որտե՞ղ կարող եմ գնել օրվա թերթերն ու ամսագրերը։	Where can I buy today’s newspapers and magazines?	sakayan unit6 dialogue2
B	Այստեղից ուղիղ գնացե՜ք, ձախ կողմում թերթի կրպակ կա։	Go straight from here and there’s a newspaper kiosk on the left.	sakayan unit6 dialogue2
A	Շնորհակալությո՛ւն։	Thank you!	sakayan unit6 dialogue2
