A	Ծանոթանանք։ Անունս Արամ է։	Let’s get to know each other. My name is Aram.	sakayan unit4 dialogue2
B	Ուրախ եմ ծանոթանալու համար։ Մինաս Ազարյան։ Իսկ սա կինս է՝ Կարինեն։	I am pleased to meet you. Minas Azarian. And this is my wife, Karine.	sakayan unit4 dialogue2
A	Շատ ուրախ եմ։ Տանտերը ձեր ի՞նչն է, ձեր եղբա՞յրն [եղպայրն] է։	A pleasure to meet you. How is the host related to you? Is he your brother?	sakayan unit4 dialogue2
B	Այո՜։ Իսկ դուք եղբորս [եղպորս] ընկե՞րն եք։	Yes. And are you my brother’s friend?	sakayan unit4 dialogue2
A	Ո՜չ, աշխատակիցը։	No, his colleague.	sakayan unit4 dialogue2
