B	Ո՞ւր այսպես, զուգված-զարդարված։	Where are you going, all dressed up?	sakayan unit5 dialogue2
A	Թատրոն։ Հավանո՞ւմ ես հագուստս [հաքուստս]։	To the theatre. Do you like my dress?	sakayan unit5 dialogue2
B	Այո՜, շատ սիրուն է։ Նո՞ր է։	Yes, it’s very nice. Is it new?	sakayan unit5 dialogue2
A	Այո՜։ Իսկ գլխարկս դուրդ [դուրտ] գալի՞ս է։	Yes. And how do you like my hat?	sakayan unit5 dialogue2
B	Դա է՞լ է նոր։ Բարո՛վ մաշես։	Is that also new? Wear it in good	sakayan unit5 dialogue2
A	Կոշիկներս չնկատեցիր։	You didn’t notice my shoes.	sakayan unit5 dialogue2
B	Անշուշտ նկատեցի՝ միայն թե կրունկները շատ բարձր [բարցր] չե՞ն։	Of course I noticed them; only aren’t the heels too high?	sakayan unit5 dialogue2
A	Այո՜, բարձր [բարցր] են, և հոգնում [հոքնում] եմ։ Բայց կին ենք, չէ՞։	Yes, they are high and I get tired. But we’re women, aren’t we?	sakayan unit5 dialogue2
