A	Ժամը քանի՞սն է։	What time is it?	sakayan unit6 dialogue1
B	Ութն անց կես է։	It’s half past 8.	sakayan unit6 dialogue1
A	Ուրեմն դեռ կես ժամ ունենք մինչև հայերենի դասը։	That means we still have half an hour before Armenian class.	sakayan unit6 dialogue1
B	Ուղիղ երեսուն րոպե։	Exactly 30 minutes.	sakayan unit6 dialogue1
A	Ի՛նչ լավ է՝ Արի՜ միասին հայերենի դասին պատրաստվենք։	That’s great! Come, let’s prepare for the Armenian class together.	sakayan unit6 dialogue1
B	Ես պատրաստ եմ։	I’m ready.	sakayan unit6 dialogue1
A	Կողքիս նստի՜ր ու ինձ օգնի՜ր [օքնիր]։	Sit next to me and help me!	sakayan unit6 dialogue1
B	Գիրքը բա՜ց արա ու կարդա՜ [կարթա]։	Open the book and read!	sakayan unit6 dialogue1
