A	Դո՞ւրս ես գալիս։	Are you going out?	sakayan unit9 dialogue3
B	Այո՜, պետք է գրասենյակ գնամ։	Yes, I have to go to my office.	sakayan unit9 dialogue3
A	Անձրև է գալու։ Նայի՜ր ամպերին։	It’s going to rain. Look at the clouds!	sakayan unit9 dialogue3
B	Ոչի՜նչ, անձրևանոց ունեմ։	No problem, I have an umbrella.	sakayan unit9 dialogue3
A	Որոտում է, լսո՞ւմ ես։ Տաք հագիր [հակիր], ցուրտ է։	There is thunder, can you hear it? Put something warm on, it’s cold.	sakayan unit9 dialogue3
B	Չեմ մրսում։ Սիրում եմ զով եղանակը։	I don’t feel cold. I like cool weather.	sakayan unit9 dialogue3
