A	Օ՛հ, շատ ծարավ եմ։ Մինաս, ինձ մի բաժակ ջուր կբերե՞ս։	Oh, I’m very thirsty! Minas, would you bring me a glass of water?	sakayan unit3 dialogue3
B	Սիրով։ Սա՞ռը ջուր ես ուզում։	Gladly. Do you want cold water?	sakayan unit3 dialogue3
A	Այո՜, եթե կարելի է։	Yes, if it’s possible.	sakayan unit3 dialogue3
B	Սառույցո՞վ։	With ice?	sakayan unit3 dialogue3
A	Այո՜, երկու կտոր, խնդրեմ։ Շնորհակա՜լ եմ։	Yes, 2 pieces, please. Thank you!	sakayan unit3 dialogue3
B	Չարժե։	Don’t mention it.	sakayan unit3 dialogue3
A	Իսկ ես մի բան եմ բերել։ Կարո՞ղ ես կռահել, թե ինչ է՝ սառն է բայց սառույց չէ, քաղցր է բայց կարկանդակ չէ։ Ի՞նչ է։	I brought something. Can you guess what it is? It’s cold but it isn’t ice, it’s sweet but it isn’t cake. What is it?	sakayan unit3 dialogue3
B	Պաղպաղակ է։	It’s ice-cream!	sakayan unit3 dialogue3
