A	Ի՛նչ հիանալի եղանակ է այսօր։	What wonderful weather we	sakayan unit9 dialogue1
B	Վերջապես գարուն է։ Ծառերը կանաչել են, ծաղիկները՝ բացվել։	Finally, it’s spring. The trees have become green, flowers	sakayan unit9 dialogue1
A	Այս տարվա ձմեռը մի քիչ երկար էր։ Արևին կարոտ մնացինք։	This past winter lasted a bit too long. We’ve missed the sun.	sakayan unit9 dialogue1
B	Բայց շուտով շոգն [շոքն] սկսվելու է։	But soon the hot weather will	sakayan unit9 dialogue1
A	Ի՛նչ կարճ է Հայաստանի գարունը։	Spring in Armenia is so short!	sakayan unit9 dialogue1
