-ուլ	suffix	One of four suffixes added to verb stems to form their infinitive, the others being -ալ (-al), -իլ (-il), and -ուլ (-ul)
-ուկ	suffix	forming diminutives or terms expressing affection | forming names of plants and animals
-ուհի	suffix	-ess, -ette. Forms nouns denoting female gender.
-ուճ	suffix	Forms result nouns
-ում	suffix	the singular and plural locative case ending of nouns of all declension types | forming action nouns | appended to the verb stem to form its first present participle
-ույթ	suffix	forming abstract nouns
-ույր	suffix	forming nouns
-ույք	suffix	forming collective nouns
-ուն	suffix	forming adjectives from verbs
-ուտ	suffix	forming names of places abounding in or populated with a certain plant
-ուրդ	suffix	forming nouns
-ուց	suffix	the singular ablative case ending of u-declension nouns
-ուք	suffix	forming nouns
-չի	suffix	Appended to words to create a noun, denoting a profession or occupation
-պան	suffix	holder, keeper; protector
-պանակ	suffix	holder, keeper; protector
-պատիկ	suffix	-fold
-ս	suffix	a possessive suffix marking 1st person possession | co-occurs with postpositions in pseudo-possessive meaning identifying the location in the 1st person | a personal suffix used to refer to the 1st person as an agent; found in idioms and certain constructions | a demonstrative suffix found in | some temporal expressions indicating a point of time being very close to the moment of speech | some expressions indicating a location very close (or even familiar) to the speaker
-ստան	suffix	Forming nouns with the meaning of place, especially country names.
-վ-	suffix	Infixed in the verb between the stem and ending to create its mediopassive voice.
-վա	suffix	the singular dative case ending of va-declension nouns
-ված	suffix	forming nouns from verbs
-վածք	suffix	forming nouns from verbs
-վոր	suffix	alternative form of -ավոր (-avor)
-րդ	suffix	-th, -rd, -nd
-ցի	suffix	Denoting persons originating from a certain place.
-ցն-	suffix	Infixed into suffixed verbs ending with -ել (-el) in infinitive to create their causative version. The verb suffix is replaced by this infix.
-ք	suffix	plural nominative case marker for words suffixed with -ցի (-cʻi) and certain others | forming nouns
11 մետրանոց	noun	alternative form of տասնմեկ մետրանոց (tasnmek metranocʻ)
b-քվարկ	noun	bottom quark
c-քվարկ	noun	charm quark
d-քվարկ	noun	down quark
s-քվարկ	noun	strange quark
t-քվարկ	noun	top quark
u-քվարկ	noun	up quark
ʻ	character	In dialectological notation, used to indicate the aspiration of բ (b), դ (d), գ (g), ձ (j) and ջ (ǰ) in some dialects: բʻ (bʻ), դʻ (dʻ), գʻ (gʻ), ձʻ (jʻ), ջʻ (ǰʻ).
Ա	character	capital form of ա (a), the first letter of the Armenian alphabet. Transliterated as A.
Ա	num	1 in the system of Armenian numerals
ԱԱ	noun	initialism of ազգային անվտանգություն (azgayin anvtangutʻyun, “national security”) | initialism of աշխարհի առաջնություն (ašxarhi aṙaǰnutʻyun, “world championship”)
ԱԱԱԿ	name	initialism of Ադրբեջանի ազգային անկախության կուսակցություն (Adrbeǰani azgayin ankaxutʻyan kusakcʻutʻyun, “Azerbaijan National Independence Party”)
ԱԱԲ	name	initialism of Ագրոարդյունաբերական բանկ (Agroardyunaberakan bank)
ԱԱԳ	noun	initialism of ազատ առեւտրի գոտի (azat aṙewtri goti, “FTA”)
ԱԱԳԽ	name	initialism of Ազգային անվտանգության գերագույն խորհուրդ (Azgayin anvtangutʻyan geraguyn xorhurd, “Supreme National Security Council (of Iran)”)
ԱԱԻ	name	initialism of Առողջապահության ազգային ինստիտուտ (Aṙoġǰapahutʻyan azgayin institut, “National Institute of Health, NIH”)
ԱԱԽ	name	initialism of Ազգային անվտանգության խորհուրդ (Azgayin anvtangutʻyan xorhurd, “National Security Council, NSC”)
